price,priceh,product,desc
"5,810","6,380",Zotac GeForce GTX 1080 Ti AMP Edition,(SPECTRA LED Lighting System)
"1,350",,Thermaltake Pacific V-GTX 10 Series(ASUS專用),((專為ASUS ROG STRIX GTX 1080/1070顯卡設計))
"15,990",,MSI GT60 - GeForce GTX 675MX,(1080p防眩光顯示屏)
,,,
"1,350",,Thermaltake Pacific V-GTX 10 Series Founders Edition透明水冷頭 (NVIDIA專用),(專為NVIDIA Geforce GTX 1080/1070顯卡設計)
"3,188",,AccessPoint 聖誕升級鬥陣特攻超強勁INTEL XEON HT12核心伺服器CPU+120G SSD+GTX 1050 2G DDR5 完整打機極速組合,(((((INTEL XEON L5638 HT12核心伺服器CPU + 120G SSD + GEFORCE GTX 1050 2G DDR5 ))))))
"6,600","7,409",ASUS ROG-STRIX-GTX1080TI-O11G-GAMING,(Aura Sync RGb)
"5,188",,AccessPoint 超強勁INTEL XEON 10核心20線程伺服器CPU+GEFORCE GTX1060全套完整極速打機組合,(INTEL XEON E5-2660 V2 CPU 10核心20線程+120G SSD+GEFORCE GTX1060 DISPLAY CARD!!!)
,,AccessPoint 強勁低溫INTEL Skylake CORE I7-6400T+120G SSD+GTX 1050鬥陣特攻完整打機極速組合 ,(((INTEL Skylake CORE I7-6400T+DDR4 4G RAM+120G SSD+GEFORCE GTX 1050 DDR 5))))
,,,
"6,100","7,050",ASUS GTX1080-8G,(GeForce GTX 1080 Founders Edition)
"21,698",,Acer Predator G1 G1-710-7771080,
"6,099","6,480",GIGABYTE GV-N108TAORUS X-11GD,(AORUS GeForce GTX 1080 Ti Xtreme Edition 11G)
"4,580","5,680",ASUS ROG STRIX-GTX1080-A8G-GAMING,(8 GB GDDR5)
"6,250","6,690",ASUS ROG-STRIX-GTX1080TI-11G-GAMING,(Aura Sync RGB)
